# File created on Tue Feb 24 19:53:24 2026
#
# time         R02m-02         I02m-02         R02m-01         I02m-01         R02m000         I02m000         R02m001         I02m001         R02m002         I02m002         R03m-03         I03m-03         R03m-02         I03m-02         R03m-01         I03m-01         R03m000         I03m000         R03m001         I03m001         R03m002         I03m002         R03m003         I03m003         R04m-04         I04m-04         R04m-03         I04m-03         R04m-02         I04m-02         R04m-01         I04m-01         R04m000         I04m000         R04m001         I04m001         R04m002         I04m002         R04m003         I04m003         R04m004         I04m004         
0.41666667     1.2941129e-06   8.3334154e-06   2.6602541e-08   -1.6287319e-10  1.069062e-06    0               2.6602541e-08   1.6287319e-10   1.2941129e-06   -8.3334154e-06  1.9624118e-07   -2.917437e-08   5.0171697e-09   6.4733061e-08   5.0643126e-08   -2.2091976e-08  0               3.56004e-08     -5.0643126e-08  -2.2091976e-08  -5.0171697e-09  6.4733061e-08   -1.9624118e-07  -2.917437e-08   2.6189809e-08   -8.4050588e-08  -7.5244646e-10  4.7618484e-10   -1.5488522e-08  -6.8127832e-08  -3.0795414e-10  -5.8979536e-10  5.3852912e-08   0               -3.0795414e-10  5.8979536e-10   -1.5488522e-08  6.8127832e-08   -7.5244646e-10  -4.7618484e-10  2.6189809e-08   8.4050588e-08  
0.41666667     2.2116772e-06   1.2324871e-05   4.4810851e-08   -3.8319561e-10  1.8293585e-06   0               4.4810851e-08   3.8319561e-10   2.2116772e-06   -1.2324871e-05  3.3261849e-07   -5.7202936e-08  1.1308957e-08   1.2538111e-07   8.5840179e-08   -4.3075319e-08  0               6.8690387e-08   -8.5840179e-08  -4.3075319e-08  -1.1308957e-08  1.2538111e-07   -3.3261849e-07  -5.7202936e-08  5.7550123e-08   -1.6288287e-07  -1.7480349e-09  1.1495425e-09   -3.4691845e-08  -1.3209714e-07  -7.1568483e-10  -1.3303829e-09  1.1934305e-07   0               -7.1568483e-10  1.3303829e-09   -3.4691845e-08  1.3209714e-07   -1.7480349e-09  -1.1495425e-09  5.7550123e-08   1.6288287e-07  
0.41666667     4.096653e-06    1.9328967e-05   8.203474e-08    -9.4423007e-10  3.3945199e-06   0               8.203474e-08    9.4423007e-10   4.096653e-06    -1.9328967e-05  6.111902e-07    -1.2398024e-07  2.7980946e-08   2.6617226e-07   1.5809983e-07   -9.2842583e-08  0               1.4644277e-07   -1.5809983e-07  -9.2842583e-08  -2.7980946e-08  2.6617226e-07   -6.111902e-07   -1.2398024e-07  1.430815e-07    -3.494168e-07   -3.7757247e-09  2.9137869e-09   -8.6907595e-08  -2.8050884e-07  -2.1467445e-09  -3.5271874e-09  2.9912939e-07   0               -2.1467445e-09  3.5271874e-09   -8.6907595e-08  2.8050884e-07   -3.7757247e-09  -2.9137869e-09  1.430815e-07    3.494168e-07   
0.41666667     8.4633164e-06   3.2810382e-05   1.6571255e-07   -2.7475992e-09  7.0349251e-06   0               1.6571255e-07   2.7475992e-09   8.4633164e-06   -3.2810382e-05  1.2532023e-06   -3.0961012e-07  8.3136268e-08   6.5006843e-07   3.2430801e-07   -2.3009924e-07  0               3.5986527e-07   -3.2430801e-07  -2.3009924e-07  -8.3136268e-08  6.5006843e-07   -1.2532023e-06  -3.0961012e-07  4.1974794e-07   -8.6536562e-07  -1.3033512e-08  9.7694157e-09   -2.5574394e-07  -6.8691402e-07  -4.7577239e-09  -8.7782224e-09  8.8237665e-07   0               -4.7577239e-09  8.7782224e-09   -2.5574394e-07  6.8691402e-07   -1.3033512e-08  -9.7694157e-09  4.1974794e-07   8.6536562e-07  
0.83333333     7.7498152e-08   1.0772081e-06   1.7251747e-09   -3.9164047e-12  6.3839968e-08   0               1.7251747e-09   3.9164047e-12   7.7498152e-08   -1.0772081e-06  1.2598296e-08   -8.6613917e-10  7.3722536e-11   2.1138718e-09   3.254447e-09    -6.6087927e-10  0               1.1542909e-09   -3.254447e-09   -6.6087927e-10  -7.3722536e-11  2.1138718e-09   -1.2598296e-08  -8.6613917e-10  4.4710017e-10   -2.701836e-09   -1.5925698e-11  9.9702639e-12   -2.3127671e-10  -2.2225229e-09  -8.7855849e-12  -1.3191242e-11  8.5970036e-10   0               -8.7855849e-12  1.3191242e-11   -2.3127671e-10  2.2225229e-09   -1.5925698e-11  -9.9702639e-12  4.4710017e-10   2.701836e-09   
0.83333333     1.0098649e-07   1.3048821e-06   2.2299264e-09   -3.6511012e-12  8.3200605e-08   0               2.2299264e-09   3.6511012e-12   1.0098649e-07   -1.3048821e-06  1.6286175e-08   -1.2029905e-09  1.1234627e-10   2.9129261e-09   4.2028755e-09   -9.2230048e-10  0               1.5899158e-09   -4.2028755e-09  -9.2230048e-10  -1.1234627e-10  2.9129261e-09   -1.6286175e-08  -1.2029905e-09  6.5207848e-10   -3.7259246e-09  -2.0544435e-11  1.1172971e-11   -3.4623389e-10  -3.0636655e-09  -5.604082e-12   -1.3593276e-11  1.2642106e-09   0               -5.604082e-12   1.3593276e-11   -3.4623389e-10  3.0636655e-09   -2.0544435e-11  -1.1172971e-11  6.5207848e-10   3.7259246e-09  
0.83333333     1.3392813e-07   1.6014917e-06   2.9301134e-09   -5.5737959e-12  1.1035989e-07   0               2.9301134e-09   5.5737959e-12   1.3392813e-07   -1.6014917e-06  2.1429178e-08   -1.71027e-09    1.744342e-10    4.1035199e-09   5.5298616e-09   -1.3102523e-09  0               2.2384212e-09   -5.5298616e-09  -1.3102523e-09  -1.744342e-10   4.1035199e-09   -2.1429178e-08  -1.71027e-09    9.7680429e-10   -5.2529823e-09  -2.9380923e-11  1.5701466e-11   -5.3088542e-10  -4.3183845e-09  -8.2208387e-12  -2.0462168e-11  1.9082586e-09   0               -8.2208387e-12  2.0462168e-11   -5.3088542e-10  4.3183845e-09   -2.9380923e-11  -1.5701466e-11  9.7680429e-10   5.2529823e-09  
0.83333333     1.8123854e-07   1.9952353e-06   3.9261401e-09   -1.0021587e-11  1.4937665e-07   0               3.9261401e-09   1.0021587e-11   1.8123854e-07   -1.9952353e-06  2.877541e-08    -2.4974794e-09  2.7532244e-10   5.913298e-09    7.4274784e-09   -1.9066034e-09  0               3.2317219e-09   -7.4274784e-09  -1.9066034e-09  -2.7532244e-10  5.913298e-09    -2.877541e-08   -2.4974794e-09  1.5083183e-09   -7.5960998e-09  -4.8923865e-11  2.8985414e-11   -8.349705e-10   -6.2256787e-09  -1.739889e-11   -3.5525115e-11  2.9718397e-09   0               -1.739889e-11   3.5525115e-11   -8.349705e-10   6.2256787e-09   -4.8923865e-11  -2.8985414e-11  1.5083183e-09   7.5960998e-09  
0.83333333     2.5106597e-07   2.5292187e-06   5.3912965e-09   -1.2137142e-11  2.0698761e-07   0               5.3912965e-09   1.2137142e-11   2.5106597e-07   -2.5292187e-06  3.9546571e-08   -3.7416419e-09  4.5279214e-10   8.9068546e-09   1.0200109e-08   -2.8677293e-09  0               4.8038215e-09   -1.0200109e-08  -2.8677293e-09  -4.5279214e-10  8.9068546e-09   -3.9546571e-08  -3.7416419e-09  2.4126243e-09   -1.1312326e-08  -6.4084167e-11  2.8691202e-11   -1.3629504e-09  -9.3905665e-09  -1.4492508e-11  -4.6560709e-11  4.7921457e-09   0               -1.4492508e-11  4.6560709e-11   -1.3629504e-09  9.3905665e-09   -6.4084167e-11  -2.8691202e-11  2.4126243e-09   1.1312326e-08  
0.83333333     3.5750638e-07   3.2722302e-06   7.5971913e-09   -2.1495112e-11  2.9482833e-07   0               7.5971913e-09   2.1495112e-11   3.5750638e-07   -3.2722302e-06  5.5881449e-08   -5.827248e-09   7.4159605e-10   1.355149e-08    1.4413893e-08   -4.4514374e-09  0               7.389174e-09    -1.4413893e-08  -4.4514374e-09  -7.4159605e-10  1.355149e-08    -5.5881449e-08  -5.827248e-09   4.0232134e-09   -1.7438664e-08  -1.1771974e-10  6.4107481e-11   -2.2806948e-09  -1.4289693e-08  -3.2186758e-11  -8.1345324e-11  8.0582742e-09   0               -3.2186758e-11  8.1345324e-11   -2.2806948e-09  1.4289693e-08   -1.1771974e-10  -6.4107481e-11  4.0232134e-09   1.7438664e-08  
